cover	numberOfChunks	numberOfTriples	nhop	treeType	queryFile	joinPattern	numberOfJoins	numberOfDataSources	selectivity	totalExecutionTime
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	60145
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	237810
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	63515
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	18114
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	24631
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	4407
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	1401622
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	48276
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	918734
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	66056
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	52958
HASH	10	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	131781
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	16506
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	212718
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	59187
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	7920
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	13314
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	4506
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	40624
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	66201
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	3425691
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	122529
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	50413
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	589389
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	16995
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	47517
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	49051
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	5245
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	12543
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	3309
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	128488
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	56873
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	2525886
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	25346
HASH	10	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	26915
HASH	10	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	248430
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	25919
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	70784
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	60836
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	6342
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	29431
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	8619
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	761123
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	53740
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	4011315
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	65975
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	138844
HASH	20	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	137438
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	18586
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	43524
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	76502
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	7858
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	15725
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	9691
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	52853
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	45602
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	2903046
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	60501
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	66018
HASH	20	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	350793
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	18803
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	41191
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	58155
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	5159
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	12032
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	7524
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	65106
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	44894
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	3776851
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	34267
HASH	20	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	29562
HASH	20	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	179139
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	50409
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	45329
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	12754
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	13930
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	117269
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	27215
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	39686
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	10909
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	13627
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	37561
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	17110
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	39582
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	8894
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	14970
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	35205
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	120854
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	15501
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	659799
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	6633901
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	100103
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	109682
HASH	40	1000000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	184337
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	224380
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	23529
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	108858
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	2728015
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	109578
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	105830
HASH	40	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	322930
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	146266
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	14129
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	64689
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	2905378
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	117868
HASH	40	1000000000	0	BUSHY	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	131618
HASH	40	1000000000	0	BUSHY	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	281569
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	40194
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	49731
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	48388
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	6699
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	5426
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	5954
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	986102
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	210128
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	3116498
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	45873
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	32764
HASH	20	500000000	0	LEFT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	62208
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	1	1	0.01	10813
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.001	31844
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	54996
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	4746
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	4325
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	5189
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	23560
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	34024
HASH	20	500000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	1638362
