cover	numberOfChunks	numberOfTriples	nhop	initialEncodingTime	coverCreationTime	finalEncodingTime	nHopReplicationTime	statisticCollectionTime	ownershipAdjustmentTime	transferTime	indexingTime
HASH	10	1000000000	0	47848045	3426094	18739232	0	123154988	26359506	1883335	21056239
HASH	20	1000000000	0	53316610	3765042	25642768	0	290317481	276743356	636039	2939084
HASH	40	1000000000	0	51738583	5869773	19908001	0	1523582360	1589266769	506036	71115473
HASH	20	500000000	0	25456142	2141111	8146405	0	53257143	11194861	553978	8867220
HASH	20	2000000000	0	159484240	10509855	66021514	0	2521380871	1854917441	177859	3693266
HIERARCHICAL	10	1000000000	0	55927247	26399107	24087006	0	216798611	11987005	818369	5462703
HIERARCHICAL	20	1000000000	0	68951691	28266690	18693421	0	367388330	323641896	189132	2479812
HIERARCHICAL	40	1000000000	0	65822480	25725790	21799207	0	1471158410	1478344241	1185418	35310290
HIERARCHICAL	20	500000000	0	30848356	16266479	18662528	0	139461251	17240863	50108	1141153
HIERARCHICAL	20	2000000000	0	156174456	80835855	76098339	0	2433160035	2371177354	701953	14465269
MIN_EDGE_CUT	10	1000000000	0	84833116	111735692	238	0	205329321	26257357	1311872	11065267
MIN_EDGE_CUT	20	1000000000	0	75654223	108682691	241	0	303375023	333603950	285703	5394939
MIN_EDGE_CUT	40	1000000000	0	83801298	115052999	470	0	929277967	1285588338	549671	4705108
MIN_EDGE_CUT	20	500000000	0	28038466	41215707	21	0	60526814	9388028	70215	1879561
MIN_EDGE_CUT	20	2000000000	0	198491306	852180514	351	0	1831283951	1301664864	2085315	25679552
VERTICAL	10	1000000000	0	70149112	7961892	9774666	0	283590664	169173671	445875	15883505
HASH	1	1000000000	0	43000134	4251660	16303586	0	90520299	5810963	15345	21517310
HASH	10	1000000000	2	43130962	3454119	17583156	783124705	377955062	40049985	510360	11651216