QUERY	500M	1000M	2000M	2HOP
so #tp=2 #ds=1 sel=0.001	855	1262	2961	12620
so #tp=2 #ds=1 sel=0.01	86093	127169	173281	904983
so #tp=8 #ds=1 sel=0.001	5903	61358	596701	560675
so #tp=8 #ds=1 sel=0.01	241	1365	144115	12789
so #tp=8 #ds=3 sel=0.001	1000000	1000000	1000000	1000000
so #tp=8 #ds=3 sel=0.01	327984	754495	1000000	1000000
ss #tp=2 #ds=1 sel=0.001	1000000	1000000	1000000	1000000
ss #tp=2 #ds=1 sel=0.01	65081	104776	148389	710061
ss #tp=8 #ds=1 sel=0.001	1000000	1000000	1000000	1000000
ss #tp=8 #ds=1 sel=0.01	1000000	1000000	1000000	1000000
ss #tp=8 #ds=3 sel=0.001	1000000	1000000	1000000	1000000
ss #tp=8 #ds=3 sel=0.01	4	12	60	120